question_id,set,demo_priority,category,expected_route,expected_winner,question,expected_answer,method,type,has_score,judge_variant,is_correct_binary,temporal_score,is_latest_info_captured,knowledge_update_score,factuality_score,completeness_score,hallucination_control_score,final_judgment,expert_notes,judge_input_tokens,judge_output_tokens,judge_total_tokens,judge_token_source
VM-E01,core,medium,recent_context,short_term,Short-Term only or Hybrid,目前 transcript segmentation pipeline 是怎麼跑的？從 Context Planner 到最後 candidate / L1 的主要步驟是什麼？,目前流程是固定 80 行 window 的 Context Planner，先切 segment，再從 segment 抽 idea unit；跨 window 的尾段會標 incomplete，後續合併；抽完後會 verify coverage，補 gap，並逐步修成可更新 memory 的 candidate。,Structured,Answer,yes,three_layer,,,,,5,5,5,Yes,"模型不僅正確回答了問題的核心，其回答的結構性、細節豐富度甚至超越了標準答案。透過引用不同日期的 L1 記憶 ID (L1-0506-001, L1-0422-001 等)，模型展現了其整合、串連多個知識點以建構完整流程圖的能力，這是非常高級的應用。此外，模型正確地使用了 Context Planner、Candidate 等專有名詞，且範疇完美地鎖定在問題所要求的 L1 生成，展現了優異的上下文理解與資訊檢索能力。",911,188,3152,actual_usage_metadata
VM-E01,core,medium,recent_context,short_term,Short-Term only or Hybrid,目前 transcript segmentation pipeline 是怎麼跑的？從 Context Planner 到最後 candidate / L1 的主要步驟是什麼？,目前流程是固定 80 行 window 的 Context Planner，先切 segment，再從 segment 抽 idea unit；跨 window 的尾段會標 incomplete，後續合併；抽完後會 verify coverage，補 gap，並逐步修成可更新 memory 的 candidate。,Structured,Evidence,yes,three_layer,,,,,2,3,5,No,模型正確辨識出流程起點的 Context Planner 與 80 行 window，且沒有產生幻覺詞彙，這點值得肯定。然而，它完全遺漏了問題的核心，也就是「從 segment 到 candidate」的關鍵處理步驟，例如：抽取 idea unit、標記 incomplete、驗證 coverage、補 gap 等。模型轉而提及舊設計和高層次的資料結構，最後直接承認無法回答，顯示其未能從記憶中提取並組織出完整的流程說明。,689,161,2817,actual_usage_metadata
VM-E01,core,medium,recent_context,short_term,Short-Term only or Hybrid,目前 transcript segmentation pipeline 是怎麼跑的？從 Context Planner 到最後 candidate / L1 的主要步驟是什麼？,目前流程是固定 80 行 window 的 Context Planner，先切 segment，再從 segment 抽 idea unit；跨 window 的尾段會標 incomplete，後續合併；抽完後會 verify coverage，補 gap，並逐步修成可更新 memory 的 candidate。,RAG,Answer,yes,three_layer,,,,,3,2,5,No,模型準確描述了流程前半段，包含 Context Planner 的 80 行 window 以及如何處理跨 window 的不完整 segment。然而，回答的完整性不足，遺漏了標準答案中後續的關鍵步驟，例如「verify coverage」、「補 gap」和「修成 candidate」。此外，模型未能將此流程與問題中明確提到的「L1」記憶層級連結起來，顯示其在利用用戶個人化術語方面有所欠缺。,854,155,2720,actual_usage_metadata
VM-E01,core,medium,recent_context,short_term,Short-Term only or Hybrid,目前 transcript segmentation pipeline 是怎麼跑的？從 Context Planner 到最後 candidate / L1 的主要步驟是什麼？,目前流程是固定 80 行 window 的 Context Planner，先切 segment，再從 segment 抽 idea unit；跨 window 的尾段會標 incomplete，後續合併；抽完後會 verify coverage，補 gap，並逐步修成可更新 memory 的 candidate。,RAG,Evidence,yes,three_layer,,,,,3,3,4,No,模型準確地描述了 Context Planner 的 80 行 window 處理機制，以及如何標記與合併跨 window 的不完整段落，這是流程中的關鍵。然而，回答並未完整涵蓋問題所要求的「到最後 candidate / L1」的完整流程，遺漏了抽取 idea unit、驗證覆蓋率 (verify coverage)、補足缺口 (gap) 等關鍵後續步驟。此外，引入了標準答案中未提及的 `segment agent` 一詞，屬於輕微的幻覺。,738,170,2350,actual_usage_metadata
VM-E01,core,medium,recent_context,short_term,Short-Term only or Hybrid,目前 transcript segmentation pipeline 是怎麼跑的？從 Context Planner 到最後 candidate / L1 的主要步驟是什麼？,目前流程是固定 80 行 window 的 Context Planner，先切 segment，再從 segment 抽 idea unit；跨 window 的尾段會標 incomplete，後續合併；抽完後會 verify coverage，補 gap，並逐步修成可更新 memory 的 candidate。,Full transcript,Answer,yes,three_layer,,,,,5,5,5,Yes,"模型不僅正確地回答了問題，其回答的結構性與細節豐富度甚至超越了標準答案。它將一個複雜的流程拆解成七個清晰的步驟，並準確地使用了所有相關的專有名詞（Context Planner, Idea Unit, Candidate, L1）。特別值得稱讚的是，模型能回憶起如「平行 Agent 分類（決策、待辦事項等）」這類極其細節的資訊，這表明它不僅理解了問題，還能從特定的會議脈絡中提取並整合深層知識，展現了卓越的記憶與推理能力。",1133,187,3171,actual_usage_metadata
VM-E01,core,medium,recent_context,short_term,Short-Term only or Hybrid,目前 transcript segmentation pipeline 是怎麼跑的？從 Context Planner 到最後 candidate / L1 的主要步驟是什麼？,目前流程是固定 80 行 window 的 Context Planner，先切 segment，再從 segment 抽 idea unit；跨 window 的尾段會標 incomplete，後續合併；抽完後會 verify coverage，補 gap，並逐步修成可更新 memory 的 candidate。,Full transcript,Evidence,yes,three_layer,,,,,5,5,5,Yes,"模型回答的表現極佳。它不僅完整涵蓋了標準答案中的所有步驟，還根據提供的證據，補充了如 Segment Agent、fallback 機制、batch 合併、平行 Agent 處理與衝突解決等更豐富的細節，使得整個流程的解釋比標準答案更加清晰和詳盡。所有術語（Context Planner, segment, idea unit, candidate, L1）均使用正確，且沒有任何幻覺。將證據與步驟逐一對應的呈現方式，也極大地增強了答案的可信度與易讀性。",1886,177,4267,actual_usage_metadata
VM-E02,core,medium,recent_context,short_term,Short-Term only or Hybrid,現在 transcript segmentation 還有哪些未解問題或待驗證點？,未解點包括 segment 與 idea unit 的區分是否必要、adaptive segmentation 是否真的值得保留、gap 的 prompt failure 根因、以及要不要改成直接從 window 抽 idea unit。正式評估方式則是用人工 ground truth 比 precision/recall。,Structured,Answer,yes,three_layer,,,,,2,3,5,No,模型回答的內容與標準答案有顯著落差。雖然模型成功從 L1 記憶中提取了相關的討論（例如放棄 adaptive window、採用 top-down 架構），但它完全錯過了標準答案中提到的所有核心未解點（例如 segment vs. idea unit、gap prompt failure 等）。這導致了正確性分數偏低。在完整性方面，模型正確使用了『Context Planner』和 L1 ID，但遺漏了其他關鍵術語。幻覺控制表現良好，未出現捏造詞彙。,750,172,2588,actual_usage_metadata
VM-E02,core,medium,recent_context,short_term,Short-Term only or Hybrid,現在 transcript segmentation 還有哪些未解問題或待驗證點？,未解點包括 segment 與 idea unit 的區分是否必要、adaptive segmentation 是否真的值得保留、gap 的 prompt failure 根因、以及要不要改成直接從 window 抽 idea unit。正式評估方式則是用人工 ground truth 比 precision/recall。,Structured,Evidence,yes,three_layer,,,,,3,4,5,No,模型成功從 L1 記憶中提取了相關的證據（如 L1-0506-007），顯示其檢索功能正常。然而，其綜合出的答案並不完整，遺漏了標準答案中提到的幾個關鍵未解點，例如「segment 與 idea unit 的區分」、「gap prompt failure 的根因」等。雖然回答的內容基於證據是正確的，但僅涵蓋了問題的一部分，未能提供全面的視角，因此在正確性上打了折扣。,773,165,2777,actual_usage_metadata
VM-E02,core,medium,recent_context,short_term,Short-Term only or Hybrid,現在 transcript segmentation 還有哪些未解問題或待驗證點？,未解點包括 segment 與 idea unit 的區分是否必要、adaptive segmentation 是否真的值得保留、gap 的 prompt failure 根因、以及要不要改成直接從 window 抽 idea unit。正式評估方式則是用人工 ground truth 比 precision/recall。,RAG,Answer,yes,three_layer,,,,,5,5,5,Yes,"模型回答不僅正確，且比標準答案提供了更豐富的脈絡與細節。它成功地將會議中關於 transcript segmentation 的討論，歸納成三個清晰、準確的未解問題，並正確使用了 `window`, `segment`, `idea unit` 等專有名詞，展現了優秀的資訊綜合與摘要能力。回答的結構性與深度均佳。",861,139,3004,actual_usage_metadata
VM-E02,core,medium,recent_context,short_term,Short-Term only or Hybrid,現在 transcript segmentation 還有哪些未解問題或待驗證點？,未解點包括 segment 與 idea unit 的區分是否必要、adaptive segmentation 是否真的值得保留、gap 的 prompt failure 根因、以及要不要改成直接從 window 抽 idea unit。正式評估方式則是用人工 ground truth 比 precision/recall。,RAG,Evidence,yes,three_layer,,,,,4,3,5,Yes,模型準確地從上下文歸納出三個 transcript segmentation 的核心技術挑戰：(1) 動態分段的預測困難 (2) 固定視窗的邊界切割問題 (3) Idea Unit 提取時的句子遺漏。這顯示模型能掌握討論中的主要問題。然而，回答並未涵蓋標準答案中的所有要點，例如：未提及『segment 與 idea unit 區分的必要性』、未提及『直接從 window 抽 idea unit』的替代方案，也完全遺漏了『用人工 ground truth 評估 precision/recall』的評估方法。因此，答案雖然正確，但完整性有待加強。,776,200,2456,actual_usage_metadata
VM-E02,core,medium,recent_context,short_term,Short-Term only or Hybrid,現在 transcript segmentation 還有哪些未解問題或待驗證點？,未解點包括 segment 與 idea unit 的區分是否必要、adaptive segmentation 是否真的值得保留、gap 的 prompt failure 根因、以及要不要改成直接從 window 抽 idea unit。正式評估方式則是用人工 ground truth 比 precision/recall。,Full transcript,Answer,yes,three_layer,,,,,4,5,5,Yes,模型成功地從多場會議中綜合資訊，提供了一個結構化且深入的回答。它不僅涵蓋了標準答案中的大部分核心問題（如 adaptive segmentation 的有效性、segment 與 idea unit 的層級問題），還提供了更豐富的背景和細節。將每個論點追溯到具體的會議和發言者，是其表現的一大亮點，展現了強大的資訊整合與追溯能力。回答的組織性和可讀性遠超標準答案。,1372,162,4045,actual_usage_metadata
VM-E02,core,medium,recent_context,short_term,Short-Term only or Hybrid,現在 transcript segmentation 還有哪些未解問題或待驗證點？,未解點包括 segment 與 idea unit 的區分是否必要、adaptive segmentation 是否真的值得保留、gap 的 prompt failure 根因、以及要不要改成直接從 window 抽 idea unit。正式評估方式則是用人工 ground truth 比 precision/recall。,Full transcript,Evidence,yes,three_layer,,,,,4,5,5,Yes,模型不僅正確回答了問題，更透過整合多個會議的資訊，以極富條理的方式呈現了 transcript segmentation 問題的演進脈絡。它準確地使用了『Context Planner』、『adaptive window』等專有名詞，並點出了『是否需要 segment 層級』以及『直接從 window 抽取 idea unit』等核心待驗證點。回答的結構性和深度甚至超越了標準答案，展現了出色的資訊整合與推理能力。雖然遺漏了「gap prompt failure」這一細節，但整體瑕不掩瑜。,1052,177,3171,actual_usage_metadata
VM-E03,core,high,topic_synthesis,long_term,Long-Term L1 + L2 or Hybrid,我們對 transcript segmentation / idea unit 切分策略的設計方向是怎麼演進的？從 0408 到 0506 的主要轉折是什麼？,0408 還在討論要不要先把 transcript 切成比較小單位；0422 轉向 tool calling / iterative reading，強調讓模型自己決定 read 多大範圍；0506 則落到固定 80 行 window、segment plus idea unit、verify plus repair，並把 adaptive segmentation 暫時視為效果不佳的方向。,Structured,Answer,no,temporal_evolution,No,2,,,,,,,,1202,141,3146,actual_usage_metadata
