question_id,set,demo_priority,category,expected_route,expected_winner,question,gold_meeting_ids,gold_l1_obj_ids,expected_answer,why_it_is_useful,demo_note,actual_route,retrieved_l1_obj_ids,agent_answer,baseline_rag_answer,baseline_transcript_answer,correctness_score,evidence_hit_score,hallucination_flag,memory_context_path,judge_notes,baseline_rag_context_path,baseline_transcript_context_path
VM-E01,core,medium,recent_context,short_term,Short-Term only or Hybrid,目前 transcript segmentation pipeline 是怎麼跑的？從 Context Planner 到最後 candidate / L1 的主要步驟是什麼？,0506,"L1-0506-001, L1-0506-002, L1-0506-003, L1-0506-006",目前流程是固定 80 行 window 的 Context Planner，先切 segment，再從 segment 抽 idea unit；跨 window 的尾段會標 incomplete，後續合併；抽完後會 verify coverage，補 gap，並逐步修成可更新 memory 的 candidate。,這題應該偏向 recent implementation state，不需要大量歷史，適合檢查 short-term 是否真的保留最新工程狀態。,適合快速 sanity check 或 router/recent-state 測試。,,,,,,,,,,,,
VM-E02,core,medium,recent_context,short_term,Short-Term only or Hybrid,現在 transcript segmentation 還有哪些未解問題或待驗證點？,0506,"L1-0506-005, L1-0506-007, L1-0506-008, L1-0506-009, L1-0506-010",未解點包括 segment 與 idea unit 的區分是否必要、adaptive segmentation 是否真的值得保留、gap 的 prompt failure 根因、以及要不要改成直接從 window 抽 idea unit。正式評估方式則是用人工 ground truth 比 precision/recall。,這題應該不能只回答目前做法，還要指出目前 pipeline 尚未收斂的 open issues。,適合快速 sanity check 或 router/recent-state 測試。,,,,,,,,,,,,
VM-E03,core,high,topic_synthesis,long_term,Long-Term L1 + L2 or Hybrid,我們對 transcript segmentation / idea unit 切分策略的設計方向是怎麼演進的？從 0408 到 0506 的主要轉折是什麼？,"0408, 0422, 0506","L1-0408-013, L1-0422-002, L1-0422-014, L1-0506-001, L1-0506-004, L1-0506-005, L1-0506-008",0408 還在討論要不要先把 transcript 切成比較小單位；0422 轉向 tool calling / iterative reading，強調讓模型自己決定 read 多大範圍；0506 則落到固定 80 行 window、segment plus idea unit、verify plus repair，並把 adaptive segmentation 暫時視為效果不佳的方向。,這是典型的跨會議 topic evolution 題，能測 L2 topic synthesis，而不是只測最近一場。,適合展示跨會議記憶、L2/L3 脈絡或系統主張。,long_term_only,"L1-0318-003, L1-0318-004, L1-0408-017, L1-0422-005, L1-0429-057, L1-0429-159, L1-0506-001, L1-0506-002, L1-0506-003, L1-0506-007","根據提供的 context，我們對 transcript segmentation / idea unit 切分策略的設計方向演進如下：

此議題的討論脈絡主要歸類在 `L2-transcript-segmentation-and-idea-unit-coverage` 主題下，並可分為兩個子主題的演進：

**L2 主題: [L2-transcript-segmentation-and-idea-unit-coverage] transcript segmentation and idea-unit coverage**

*   **子主題: [L2-idea-unit-extraction-and-coverage-repair] idea-unit extraction and coverage repair**
    *   **初期方向 (0408):** 計劃採用兩階段方法，先將逐字稿切分成較小的「idea units」，然後再進行分析（L1-0408-017）。這個想法在 0422 的會議中被進一步提出，建議在 Gemini 處理前，先將相同主題的連續發言組合成一個「idea node」（L1-0422-005）。
    *   **策略轉變 (0429):** 到了 0429，記憶體更新流程**不再**將文本預先切分成 idea units。取而代之的是，讓 Gemini 直接處理一個較大的文本區塊（例如 80 行），並在其中識別多個主題（L1-0429-159）。
    *   **現行做法 (0506):** 目前的系統在初步提取後，會進行驗證和補漏，以確保 100% 的逐字稿覆蓋率（L1-0506-003）。不過，團隊也開始質疑在提取「Idea Unit」（細粒度觀點）之前，是否需要先進行「Segment」（廣泛主題）的步驟，因為兩者之間的區別變得模糊（L1-0506-007）。

*   **子主題: [L2-transcript-segmentation] transcript segmentation**
    *   **策略確立 (0429):** 團隊決定**不採用**動態的逐字稿分塊（dynamic chunking），而是採用固定大小的區塊（約 20 行）進行處理（L1-0429-057）。
    *   **現行做法 (0506):** 目前的資料處理架構是一個三階段的管線，由 `Context Planner` 讀取一個**固定 80 行**的窗口開始（L1-0506-001）。為了處理跨越這個 80 行窗口的主題，`Segment Agent` 會將窗口內的最後一個 segment 標記為不完整，以便與下一個窗口的內容連接處理（L1-0506-002）。

### 從 0408 到 0506 的主要轉折

主要的轉折點發生在 **0429** 的會議前後。

策略從 **0408** 提出的「先將逐字稿切分成 idea units 再分析」的**由下而上 (bottom-up)** 的構想（L1-0408-017），轉變為 **0429** 確立、並在 **0506** 實作的「處理固定大小的文本窗口（80 行），再從中識別主題」的**由上而下 (top-down)** 的方法（L1-0429-159, L1-0506-001）。","根據提供的 context，我們對 transcript segmentation / idea unit 切分策略的設計方向演進如下：

在 **0408** 的會議中，團隊的討論尚處於較高層次的策略發想階段。當時的共識是，不應該將完整的逐字稿直接丟給 LLM 處理，因為過去的經驗顯示這樣效果不佳，甚至會產生幻覺。因此，需要進行前處理。當時被提出來考慮的切分方法包括：
*   **簡單方法**：用句點或以每個發言者的一個 turn 作為切分單位。
*   **Idea Unit 方法**：參考浩哲團隊使用 prompt 設計來切分中文 idea unit 的現成腳本（recipe）。
當時的討論核心是確立需要前處理，並探索各種可能的切分策略，但尚未決定具體的執行方案 (`[0408#chunk-4]`)。

到了 **0506** 的會議，團隊已經發展出一套具體且多層次的切分流程。這顯示了從策略發想到實際執行的轉變。這個新流程包含以下幾個步驟：
1.  **Segment 切分**：首先將逐字稿以一個較大的單位（如 80 行的 window size）進行初步切分，一個 segment 像是一個討論主題 (`[0506#chunk-3]`)。
2.  **Idea Unit 抽取**：在每個 segment 內部，再由 agent 進一步抽取出更細緻的 idea units (`[0506#chunk-3]`)。
3.  **驗證與補全**：系統會驗證 idea units 是否覆蓋了所有逐字稿內容。如果發現有遺漏的句子，會將該句直接作為一個品質較低的 idea unit 補回，以確保資訊完整性 (`[0506#chunk-3]`)。
此外，團隊也討論到他們使用的 prompt 應該是自己開發的，而非先前在 0408 討論中提到的浩哲的版本 (`[0506#chunk-3]`)。

**主要轉折**：
從 0408 到 0506 的主要轉折在於，團隊從 **「探索多種可能的切分策略」** 的發想階段，演進到 **「實作並優化一個具體的多層次切分流程」** 的執行階段。策略從較為模糊的「先切成小單位」 (`[0408#chunk-4]`)，轉變為一個明確的「先切 segment（主題），再從中抽 idea unit，最後進行驗證補全」的 pipeline (`[0506#chunk-3]`)。","根據提供的 `meeting 0408` 會議逐字稿，我們對 transcript segmentation / idea unit 切分策略的設計方向演進如下：

在 `meeting 0408` 的討論中，最初的處理方式是將整份會議逐字稿（transcription）直接丟入 LLM，讓 LLM 根據預設的 prompt（包含 decision, TODO, open question 等類別）去抓取重點。

然而，會議中很快就對此方法提出了質疑，並探討了新的設計方向，主要的轉折是從「將整份 transcript 一次性處理」轉向「先進行前處理（pre-processing）切分，再交由 LLM 分析」。具體討論的演進方向包括：

1.  **問題提出**：SPEAKER_00 參考過去的經驗指出，若將很長的內容直接整個丟給 LLM，可能會導致標記效果不佳甚至產生幻覺。因此，他認為需要對 transcript 進行前處理，而不是直接整份丟入。
2.  **切分單位的探討**：會議中提出了幾種可能的切分（segmentation）方法：
    *   **簡單方法**：可以先用簡單的規則切分，例如「用句點切」或是「以每一個 turn 來切」（即某位發言者的一段連續發言）。
    *   **進階方法**：SPEAKER_00 提到了另一個團隊（浩哲他們）開發的「idea unit segmentation」script，該方法透過設計 prompt 來告訴 language model 什麼是 idea unit，從而進行更精準的語意單元切分。

總結來說，在 `meeting 0408` 中，策略設計方向從「將整份 transcript 視為單一輸入」演進為「應先將 transcript 切分為較小的 idea units 或 chunks，再進行後續處理」，以提升分析的精準度。

**目前 context 不足以回答此問題的後半部分**，因為提供的資料僅包含 `meeting 0408` 的內容，沒有 `meeting 0506` 的會議資訊，因此無法比較從 0408 到 0506 的主要轉折是什麼。",,,,/home/kellychen/virtual-mentor/doc/evaluation_runs/contexts/VM-E03_structured.txt,,/home/kellychen/virtual-mentor/doc/evaluation_runs/contexts/VM-E03_rag.txt,/home/kellychen/virtual-mentor/doc/evaluation_runs/contexts/VM-E03_full_transcript.txt
VM-E04,core,high,decision_reasoning,long_term,Long-Term L1 + L2,為什麼最後沒有採用 adaptive segmentation，而是改成 fixed 80-line + verify/repair？,0506,"L1-0506-001, L1-0506-003, L1-0506-004, L1-0506-005, L1-0506-008, L1-0506-012, L1-0506-013",adaptive 方案在既有實驗裡讓 rejected 增加、verify 降低，邊界預測不準時仍要補邊界處理，優勢被抵銷；相較之下 fixed window 雖粗，但配合 verify、gap filling、repair，比較穩定、可檢查，也較符合 LLM 可以消化較大 chunk 的實際能力。,這題不是問 pipeline 是什麼，而是問目前決策背後的理由，能測 citation faithfulness 與 rationale retrieval。,適合展示跨會議記憶、L2/L3 脈絡或系統主張。,,,,,,,,,,,,
VM-E05,core,medium,recent_context,short_term,Short-Term only or Hybrid,目前的 memory node 分數設計是什麼？importance、activation 或 recency、relevance 各自負責什麼？,0506,"L1-0506-033, L1-0506-036, L1-0506-041",importance 是建立 node 當下的相對重要性，不應被後續 decay 直接改寫； activation 或 recency 是動態活躍度，會隨時間下降； relevance 是 retrieve 時的 semantic similarity。三者分開是為了保留「當時重要」和「現在活躍」這兩種不同訊號。,這題能直接檢查目前系統是否正確表達 static vs dynamic memory scores，而不是把 importance 和 recency 混成同一件事。,適合快速 sanity check 或 router/recent-state 測試。,,,,,,,,,,,,
VM-E06,core,high,topic_synthesis,long_term,Long-Term L1 + L2,我們的 forgetting / fade-out 設計是怎麼演進的？從 0307 的三次會議刪除、0325/0408 的 floor 機制，到 0429/0506 的 fade-out 與 activation 各自代表什麼？,"0307, 0325, 0408, 0429, 0506","L1-0307-002, L1-0325-054, L1-0325-055, L1-0408-008, L1-0429-017, L1-0429-018, L1-0429-047, L1-0506-033, L1-0506-041",0307 的 forgetting 比較像 STM rolling window，三次沒提就刪；0325 和 0408 開始把 long-term retrieval 想成 time decay plus floor，保留高重要性舊事件；0429 進一步把 fade-out 定義成「平常對話不主動吐出，但仍可 explicit retrieve」；0506 再把 importance、activation 或 recency、relevance 分離，讓 decay 不會破壞原始 importance 訊號。,這題很適合驗證 memory architecture 是否真的有學到「記憶消退不是單純刪除」這件事。,適合展示跨會議記憶、L2/L3 脈絡或系統主張。,,,,,,,,,,,,
VM-E07,core,high,decision_reasoning,long_term,Long-Term L1 + L2,為什麼標準 RAG 或 full transcript baseline 不足以處理研究會議記憶？,"0318, 0325, 0422","L1-0318-012, L1-0325-086, L1-0325-090, L1-0422-018, L1-0422-021",full transcript 與 raw RAG 都應該作為 baseline，但它們不擅長追蹤 topic lifecycle、被放棄的方向、以及跨時間的 decision status。標準 RAG 會抓到「曾經提過」的內容，卻不一定理解那件事後來被否決、淡出或轉向；這也是 custom memory structure 要證明的價值。,這題直接對應你 evaluation plan 的核心 claim，也能用來檢驗 raw transcript baseline 和 memory baseline 的差異。,適合展示跨會議記憶、L2/L3 脈絡或系統主張。,,,,,,,,,,,,
VM-E08,core,high,topic_synthesis,both,Hybrid,我們現在 evaluation 應該比較哪些 baseline 與 metrics？這個設計怎麼從 0318 的 paper review 演進到 0429 的三類問題？,"0318, 0429","L1-0318-007, L1-0318-010, L1-0318-011, L1-0318-012, L1-0429-011, L1-0429-013",0318 確立了 MEM0 / LOCOMO 風格的 evaluation 思路，包括 single-hop、multi-hop、temporal reasoning、open domain，以及 full transcript、RAG、memory system 的 baseline comparison，也提到用 LLM judge、看 latency 與 token。到 0429，題型被改寫成更貼近本專題的三類：short-term correctness、long-term evolution、decision reasoning，重點轉為不要漏 context、不要 hallucinate、要能對照 ground truth。,這題能測「最近的 evaluation state」和「歷史設計來源」是否能同時被取回，所以適合 both。,適合展示跨會議記憶、L2/L3 脈絡或系統主張。,,,,,,,,,,,,
VM-E09,core,medium,decision_reasoning,long_term,Long-Term L1 + L2,為什麼 0429 開始改用 token 而不是分鐘來衡量 dataset 是否足夠？,0429,"L1-0429-001, L1-0429-002, L1-0429-008, L1-0429-010",因為要跟 LLM 的 long-context 能力對齊，標準單位是 token，不是 meeting 分鐘數。分鐘只能描述錄音長度，不能直接映射模型 context window；因此 180 分鐘的 dataset 是否足夠，應該以 token 規模與當前模型上限比較。,這題適合測 decision rationale，也能檢查模型是否會把「資料長度」錯答成單純的錄音時間。,適合快速 sanity check 或 router/recent-state 測試。,,,,,,,,,,,,
VM-E10,core,high,cross_meeting_recall,both,Hybrid,目前 short-term 和 long-term 的更新關係是什麼？為什麼不是先把 transcript routing 到其中一個 memory，而是兩邊平行更新？,0422,"L1-0422-001, L1-0422-008, L1-0422-011, L1-0422-013",0422 的共識是 STM 和 LTM 從同一份 transcript 平行更新，而不是先判斷某個 idea unit 應該只進哪一邊。理由是 STM 需要保存近期細節，LTM 需要保存較持久的研究脈絡；若先做單一路由，容易把本來同時有短期和長期價值的內容過早丟到其中一邊。,這題表面上看起來像 architecture 問題，但 wording 帶有 目前 和 為什麼，可以測 router 是否會正確用 both。,適合展示跨會議記憶、L2/L3 脈絡或系統主張。,,,,,,,,,,,,
