問題類型,方法,評分類型,樣本數,成功數,失敗數,成功率(%),平均品質分數(1-5),平均生成Token,平均評分Token,平均總Token,總Token,每個成功答案Token
conflict_or_update,Full transcript,Answer,1,1,0,100.0,5.0,82277.0,3007.0,85284.0,85284,85284.0
conflict_or_update,Full transcript,Evidence,1,1,0,100.0,5.0,81163.0,2048.0,83211.0,83211,83211.0
conflict_or_update,RAG,Answer,1,0,1,0.0,4.0,3859.0,2569.0,6428.0,6428,
conflict_or_update,RAG,Evidence,1,0,1,0.0,2.0,4286.0,2378.0,6664.0,6664,
conflict_or_update,Structured,Answer,1,0,1,0.0,2.0,4391.0,3454.0,7845.0,7845,
conflict_or_update,Structured,Evidence,1,1,0,100.0,4.0,3746.0,2457.0,6203.0,6203,6203.0
cross_meeting_recall,Full transcript,Answer,3,3,0,100.0,4.67,80671.0,2418.7,83089.7,249269,83089.7
cross_meeting_recall,Full transcript,Evidence,3,3,0,100.0,5.0,81152.7,2719.0,83871.7,251615,83871.7
cross_meeting_recall,RAG,Answer,3,1,2,33.3,1.67,4564.7,2185.3,6750.0,20250,20250.0
cross_meeting_recall,RAG,Evidence,3,1,2,33.3,2.0,4541.7,1665.0,6206.7,18620,18620.0
cross_meeting_recall,Structured,Answer,3,3,0,100.0,4.0,4672.7,2235.3,6908.0,20724,6908.0
cross_meeting_recall,Structured,Evidence,3,2,1,66.7,3.67,3689.3,1777.3,5466.7,16400,8200.0
decision_reasoning,Full transcript,Answer,3,3,0,100.0,5.0,80320.7,2078.3,82399.0,247197,82399.0
decision_reasoning,Full transcript,Evidence,3,3,0,100.0,5.0,80367.3,2114.0,82481.3,247444,82481.3
decision_reasoning,RAG,Answer,3,1,2,33.3,2.67,4216.7,1819.7,6036.3,18109,18109.0
decision_reasoning,RAG,Evidence,3,1,2,33.3,2.67,4263.0,1667.3,5930.3,17791,17791.0
decision_reasoning,Structured,Answer,3,3,0,100.0,5.0,4890.7,2144.0,7034.7,21104,7034.7
decision_reasoning,Structured,Evidence,3,3,0,100.0,5.0,4329.3,1793.7,6123.0,18369,6123.0
recent_context,Full transcript,Answer,4,4,0,100.0,4.58,80890.5,3125.0,84015.5,336062,84015.5
recent_context,Full transcript,Evidence,4,4,0,100.0,4.92,81023.0,3175.8,84198.8,336795,84198.8
recent_context,RAG,Answer,4,3,1,75.0,4.5,4569.2,2599.2,7168.5,28674,9558.0
recent_context,RAG,Evidence,4,3,1,75.0,4.25,4468.8,2458.5,6927.2,27709,9236.3
recent_context,Structured,Answer,4,3,1,75.0,4.08,3859.0,2829.5,6688.5,26754,8918.0
recent_context,Structured,Evidence,4,2,2,50.0,4.25,3114.5,2553.8,5668.2,22673,11336.5
topic_synthesis,Full transcript,Answer,3,3,0,100.0,4.67,81466.7,2985.0,84451.7,253355,84451.7
topic_synthesis,Full transcript,Evidence,3,3,0,100.0,5.0,81254.0,2536.3,83790.3,251371,83790.3
topic_synthesis,RAG,Answer,3,0,3,0.0,1.67,4855.3,2124.7,6980.0,20940,
topic_synthesis,RAG,Evidence,3,0,3,0.0,2.0,4626.0,2112.0,6738.0,20214,
topic_synthesis,Structured,Answer,3,1,2,33.3,3.0,4826.3,2743.7,7570.0,22710,22710.0
topic_synthesis,Structured,Evidence,3,1,2,33.3,3.0,4796.7,2443.7,7240.3,21721,21721.0
